时间戳,右臂最大压强(kPa),右臂最大压强坐标,右臂平均压强(kPa),右臂受力面积(cm²),右臂数据,右臂点数,右臂总压力(N),备注
1787222641068,155.0,"(0, 26)",49.2,125,"[0,8,15,8,0,13,26,39,51,44,37,26,15,16,17,36,54,47,40,79,117,79,40,79,117,136,155,150,144,116,87,48,9,5,0,0,0,4,8,8,8,15,22,35,48,36,25,16,8,15,23,34,45,41,38,59,80,56,32,56,79,111,143,138,133,116,100,55,11,5,0,0,0,0,0,8,16,17,17,31,45,29,12,6,0,14,28,32,35,35,35,39,43,34,24,33,41,86,130,126,121,117,112,62,12,6,0,0,0,0,0,8,16,17,17,31,45,29,12,6,0,14,28,32,35,35,35,39,43,34,24,33,41,86,130,126,121,117,112,62,12,6,0,0]",125,614.8,
1787222641185,165.0,"(0, 26)",60.1,123,"[0,7,13,7,0,23,46,65,83,67,51,33,15,14,13,32,50,47,44,88,132,91,50,92,133,149,165,159,152,123,93,47,0,0,0,0,0,3,7,9,12,32,53,73,92,65,38,23,8,13,18,30,43,43,43,70,98,67,37,64,91,123,155,149,143,124,106,56,6,3,0,0,0,0,0,12,23,42,60,81,101,63,24,12,0,12,23,29,35,39,42,53,63,44,24,36,48,96,144,139,134,126,118,65,12,6,0,0,0,0,0,12,23,42,60,81,101,63,24,12,0,12,23,29,35,39,42,53,63,44,24,36,48,96,144,139,134,126,118,65,12,6,0,0]",123,739.3,
1787222641297,156.0,"(0, 20)",59.1,125,"[0,6,12,6,0,29,57,80,103,85,67,42,17,16,14,35,55,73,91,124,156,99,41,62,83,101,118,111,104,85,65,33,0,0,0,0,0,3,6,11,16,45,75,99,123,88,54,36,18,19,20,34,47,63,79,97,116,74,31,45,59,84,109,103,98,87,77,43,9,4,0,0,0,0,0,16,31,62,92,118,143,92,40,30,19,23,26,33,39,53,66,71,76,49,21,28,35,67,99,95,91,90,89,53,17,9,0,0,0,0,0,16,31,62,92,118,143,92,40,30,19,23,26,33,39,53,66,71,76,49,21,28,35,67,99,95,91,90,89,53,17,9,0,0]",125,738.8,
1787222641409,114.0,"(0, 20)",34.8,126,"[0,3,6,3,0,11,22,51,79,71,62,41,19,18,17,38,59,57,55,85,114,57,0,15,29,42,55,36,16,23,29,18,7,4,0,0,0,2,3,5,7,19,31,60,89,67,45,32,18,20,21,35,50,50,50,66,81,44,7,14,21,36,50,42,34,36,39,23,7,4,0,0,0,0,0,7,13,26,39,69,98,63,28,23,17,21,25,33,40,43,45,47,48,31,13,13,13,29,45,48,51,50,49,28,7,4,0,0,0,0,0,7,13,26,39,69,98,63,28,23,17,21,25,33,40,43,45,47,48,31,13,13,13,29,45,48,51,50,49,28,7,4,0,0]",126,438.2,
1787222641528,53.0,"(0, 10)",13.2,84,"[0,0,0,0,0,0,0,10,20,37,53,36,18,16,14,29,43,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,10,20,26,32,20,9,12,16,27,38,20,3,2,0,0,0,0,0,3,6,7,7,6,5,4,3,2,0,0,0,0,0,3,5,3,0,10,19,15,10,5,0,9,17,25,32,19,6,3,0,0,0,0,0,6,12,13,14,12,10,8,6,3,0,0,0,0,0,3,5,3,0,10,19,15,10,5,0,9,17,25,32,19,6,3,0,0,0,0,0,6,12,13,14,12,10,8,6,3,0,0]",84,111.1,
1787222641642,51.0,"(2, 28)",23.6,54,"[0,0,0,0,0,0,0,0,0,12,24,12,0,3,6,13,20,10,0,0,0,0,0,0,0,11,21,34,46,38,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,4,7,13,19,9,0,0,0,0,0,0,0,15,30,39,49,45,41,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,17,9,0,0,0,0,0,0,0,19,38,45,51,51,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,17,9,0,0,0,0,0,0,0,19,38,45,51,51,51,26,0,0,0,0]",54,127.4,
1787222641757,40.0,"(0, 24)",15.4,62,"[0,0,0,0,0,0,0,0,0,7,13,7,0,3,6,15,23,12,0,0,0,0,0,20,40,31,21,15,8,18,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,3,6,11,17,8,0,0,0,0,0,13,26,27,28,18,8,20,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,10,5,0,0,0,0,0,6,11,23,34,21,8,23,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,10,5,0,0,0,0,0,6,11,23,34,21,8,23,37,19,0,0,0,0]",62,95.2,
1787222641868,82.0,"(0, 24)",20.1,62,"[0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,8,16,8,0,0,0,0,0,41,82,62,42,33,23,26,28,17,5,3,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,6,12,6,0,0,0,0,0,26,53,46,40,30,20,26,33,19,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,12,23,30,37,27,16,27,37,21,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,0,0,0,12,23,30,37,27,16,27,37,21,5,3,0,0]",62,124.9,
1787222641986,30.0,"(0, 16)",8.1,66,"[0,0,0,0,0,0,0,0,0,9,18,9,0,5,10,20,30,20,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,7,0,3,5,15,25,17,9,4,0,2,3,3,3,5,7,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,10,19,13,7,4,0,3,6,6,6,10,14,7,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,10,19,13,7,4,0,3,6,6,6,10,14,7,0,3,5,3,0,0,0,0]",66,53.7,
1787222642107,31.0,"(0, 16)",8.0,66,"[0,0,0,0,0,0,0,3,5,10,14,10,5,7,8,20,31,21,11,6,0,3,5,5,5,3,0,0,0,3,5,8,11,6,0,0,0,0,0,0,0,0,0,1,3,5,7,5,3,5,8,16,24,15,6,3,0,3,5,8,10,5,0,0,0,1,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,16,8,0,0,0,3,5,10,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,16,8,0,0,0,3,5,10,15,8,0,0,0,0,0,0,0,0,0,0]",66,53.0,
1787222642221,55.0,"(2, 18)",15.9,100,"[0,0,0,0,0,21,42,43,44,39,33,19,5,5,5,20,34,42,50,30,10,5,0,10,19,17,15,13,10,5,0,0,0,0,0,0,0,0,0,2,4,17,30,28,27,24,21,12,3,3,3,15,28,40,53,32,11,7,4,8,13,10,8,6,5,3,0,0,0,3,5,5,0,0,0,4,7,12,17,13,9,9,9,5,0,0,0,11,21,38,55,33,11,9,7,7,7,4,0,0,0,0,0,0,0,5,10,10,0,0,0,4,7,12,17,13,9,9,9,5,0,0,0,11,21,38,55,33,11,9,7,7,7,4,0,0,0,0,0,0,0,5,10,10]",100,159.2,
1787222642335,90.0,"(2, 18)",25.9,112,"[0,0,0,0,0,21,41,47,52,59,65,38,10,16,21,43,65,61,57,39,20,17,14,28,41,31,21,19,17,9,0,4,7,4,0,0,0,0,0,1,3,19,35,36,37,43,49,32,15,21,27,41,56,65,74,46,19,15,10,18,25,18,11,10,9,4,0,2,4,4,4,4,0,0,0,3,5,17,28,25,22,27,32,26,19,26,32,40,47,69,90,54,18,12,6,8,9,5,0,0,0,0,0,0,0,4,8,8,0,0,0,3,5,17,28,25,22,27,32,26,19,26,32,40,47,69,90,54,18,12,6,8,9,5,0,0,0,0,0,0,0,4,8,8]",112,290.4,
